supplier_id,name,city,region,region_label,lng_gcj02,lat_gcj02,produces,verdict,market_cap_usd_b,category,is_key_supplier
tsmc,TSMC / 台积电,新竹,TW,中国台湾,120.97129,24.8109,总部/研发 + 晶圆厂,高估,2000.0,Foundry,True
tsmc,TSMC / 台积电,台南(南部科学园区),TW,中国台湾,120.27395,23.04735,先进制程晶圆厂(3nm/2nm),高估,2000.0,Foundry,True
tsmc,TSMC / 台积电,台中(中科),TW,中国台湾,120.67374,24.14719,晶圆厂(7/5nm),高估,2000.0,Foundry,True
tsmc,TSMC / 台积电,凤凰城(美国亚利桑那),US,美国,-111.84,33.3,5/4nm 美国厂(地缘分散),高估,2000.0,Foundry,True
tsmc,TSMC / 台积电,熊本(日本),JP,日本,130.7,32.8,JASM 合资厂(索尼/丰田),高估,2000.0,Foundry,True
foxconn,Foxconn / 富士康,深圳(龙华),CN,中国大陆,114.05511,22.65728,早期 iPhone 组装/总部体系,低估,113.3,Assembly,True
foxconn,Foxconn / 富士康,郑州,CN,中国大陆,113.62604,34.74882,iPhone 主力组装基地(最大单体),低估,113.3,Assembly,True
foxconn,Foxconn / 富士康,成都,CN,中国大陆,104.07251,30.56755,iPad / Mac 组装,低估,113.3,Assembly,True
foxconn,Foxconn / 富士康,新北(土城),TW,中国台湾,121.46408,25.00734,鸿海总部,低估,113.3,Assembly,True
foxconn,Foxconn / 富士康,钦奈(印度),IN,印度,79.9,12.92,iPhone 印度组装(分散风险),低估,113.3,Assembly,True
foxconn,Foxconn / 富士康,北宁(越南),VN,越南,106.06,21.18,部分组装/零部件,低估,113.3,Assembly,True
samsung_elec,SEC / 三星电子,水原,KR,韩国,127.03,37.26,总部,低估,1208.9,Memory,True
samsung_elec,SEC / 三星电子,华城,KR,韩国,126.82,37.2,半导体/存储/晶圆代工,低估,1208.9,Memory,True
samsung_elec,SEC / 三星电子,平泽,KR,韩国,127.08,36.99,最大半导体复合体(HBM/DRAM/代工),低估,1208.9,Memory,True
samsung_elec,SEC / 三星电子,牙山,KR,韩国,127.0,36.8,显示面板,低估,1208.9,Memory,True
skhynix,SK hynix / SK海力士,利川,KR,韩国,127.44,37.27,总部/DRAM 研发,低估,900.0,Memory,True
skhynix,SK hynix / SK海力士,清州,KR,韩国,127.49,36.64,DRAM/NAND 晶圆厂,低估,900.0,Memory,True
