base_id:ID(ProductionBase),name,city,province,country,operator,products,role,confidence,:LABEL
base_zhengzhou_cn,郑州富士康科技园（iPhone City）,郑州,河南,中国,foxconn,iPhone;iPad,iPhone Pro/Pro Max 主力总装；亦参与 iPad 总装,high,ProductionBase
base_shenzhen_cn,深圳富士康（观澜等）,深圳,广东,中国,foxconn,iPhone;iPad,iPhone 总装；深圳另设苹果应用研究实验室（测 iPhone/iPad，非 Vision Pro 总装）,high,ProductionBase
base_chengdu_cn,成都富士康科技园（鸿富成）,成都,四川,中国,foxconn,iPad;Mac;Wearable,iPad 全球约 60%、MacBook 全球约 50% 产自成都高新区；亦总装 Apple Watch,high,ProductionBase
base_shanghai_cn,上海和硕（Pegatron）,上海,上海,中国,pegatron,iPhone;iPad,iPhone 总装（部分机型）；亦参与 iPad 总装,high,ProductionBase
base_kunshan_cn,昆山/无锡立讯精密（Luxshare）,昆山/无锡,江苏,中国,luxshare,iPhone,高毛利 tier 总装（曾总装 iPhone Plus 系列）,medium,ProductionBase
base_taiwan_quanta,台湾广达（Quanta）,台湾,,中国台湾,quanta,Mac;Wearable,MacBook / Mac Studio 总装；亦参与 Apple Watch 总装,high,ProductionBase
base_tamilnadu_in,泰米尔纳德邦（Foxconn Sriperumbudur；Tata Pegatron 金奈）,Sriperumbudur/Chennai,Tamil Nadu,印度,foxconn,iPhone;iPad,印度 iPhone 主力基地之一（Foxconn 占印度出口约 52%）；Tata Pegatron 金奈厂总装标准版 iPhone + iPad,high,ProductionBase
base_karnataka_in,卡纳塔克邦（Foxconn Devanahalli；Tata Narasapura/Hosur）,Bengaluru/Narasapura/Hosur,Karnataka,印度,foxconn,iPhone;iPad,Foxconn Devanahalli 为富士康全球第二大厂，保印度约 20% iPhone 产能；Tata 整合原纬创厂 + Hosur 外壳,medium,ProductionBase
base_telangana_in,特伦甘纳邦海得拉巴（Foxconn Hyderabad）,Hyderabad,Telangana,印度,foxconn,Audio,自 2025-03 起总装 AirPods 4 与 AirPods Pro 3；亦规划 iPhone/组件,high,ProductionBase
base_bacninh_vn,北宁省（Foxconn/Luxshare/Goertek）,Bac Ninh,Bac Ninh,越南,foxconn,Audio;Wearable;Spatial;Mac;iPad,越南北部消费电子聚集带核心；AirPods/Watch/VR 头显与 MacBook/iPad 模块,medium,ProductionBase
base_bacgiang_vn,北江省（立讯 Quang Chau；Foxconn Dinh Tram）,Bac Giang,Bac Giang,越南,luxshare,Audio;Wearable;iPad,Luxshare 北江厂为 AirPods Pro / AirPods 4 主力；亦扩产 Apple Watch；Foxconn 同省有 iPad/MacBook 线,medium,ProductionBase
base_nghean_vn,义安省（立讯 Luxshare）,Nghe An,Nghe An,越南,luxshare,Wearable,Luxshare 规划 1.5 亿美元建 Apple Watch 产线（2026 中投产）,low,ProductionBase
base_quangninh_vn,广宁省（Foxconn）,Quang Ninh,Quang Ninh,越南,foxconn,Mac;iPad,Foxconn 2.5 亿美元项目，MacBook/iPad 组装,medium,ProductionBase
base_haiphong_vn,海防市（和硕 Pegatron Nam Dinh Vu）,Hai Phong,Hai Phong,越南,pegatron,Mac;iPad,Pegatron 越南计算/电信产线,low,ProductionBase
base_houston_us,休斯顿（Foxconn Texas）,Houston,Texas,美国,foxconn,Mac,自 2026 年底起总装 Mac mini（供美国内需）；同期组装 AI 服务器,high,ProductionBase
base_cork_ie,科克（Apple 自有工厂）,Cork,,爱尔兰,apple,Mac,为欧洲/中东/非洲市场总装定制配置 iMac（标准配置仍由中国伙伴总装）,high,ProductionBase
base_brazil_br,巴西（Foxconn 圣保罗州）,Jundiaí/São Paulo,São Paulo,巴西,foxconn,iPhone,为巴西本地市场总装低端 iPhone，规避高额进口税（非出口导向）,medium,ProductionBase
